iter	Passed	Remaining
155	205	1111
156	206	1109
157	211	1129
158	213	1128
159	214	1125
160	215	1121
161	216	1118
162	219	1124
163	220	1122
164	221	1119
165	222	1116
166	224	1121
167	225	1118
168	227	1117
169	228	1114
170	229	1113
171	230	1110
172	233	1115
173	234	1113
174	235	1110
175	236	1107
176	237	1105
177	241	1116
178	242	1114
179	244	1111
180	245	1111
181	247	1112
182	248	1109
183	249	1108
184	250	1105
185	251	1101
186	253	1100
187	254	1098
188	255	1098
189	256	1095
190	257	1092
191	258	1089
192	259	1086
193	261	1085
194	262	1083
195	263	1080
196	264	1077
197	265	1075
198	266	1073
199	268	1072
200	269	1070
201	270	1068
202	271	1065
203	272	1062
204	273	1060
205	274	1057
206	276	1058
207	277	1056
208	278	1054
209	279	1051
210	280	1049
211	281	1046
212	282	1044
213	283	1042
214	284	1040
215	285	1037
216	286	1035
217	287	1032
218	288	1029
219	289	1027
220	291	1027
221	292	1025
222	293	1022
223	294	1020
224	295	1017
225	297	1018
226	298	1016
227	299	1013
228	300	1012
229	301	1009
230	302	1007
231	303	1005
232	304	1003
233	306	1001
234	307	999
235	307	997
236	308	994
237	309	992
238	311	991
239	312	990
240	313	987
241	314	985
242	315	983
243	316	981
244	317	979
245	318	977
246	320	976
247	321	973
248	322	971
249	323	969
250	324	968
251	326	968
252	327	966
253	328	964
254	329	962
255	330	959
256	331	957
257	332	955
258	333	953
259	334	952
260	335	950
261	336	948
262	337	946
263	339	946
264	340	944
265	341	942
266	342	941
267	343	939
268	344	937
269	345	935
270	346	933
271	347	931
272	349	931
273	350	929
274	351	927
275	352	925
276	353	923
277	356	926
278	358	925
279	359	923
280	362	927
281	364	928
282	365	927
283	366	925
284	367	922
285	368	920
286	370	919
287	371	917
288	372	915
289	373	914
290	374	912
291	375	910
292	376	908
293	377	906
294	378	905
295	379	903
296	380	901
297	381	899
298	382	897
299	383	895
300	385	895
301	386	893
302	387	891
303	388	890
304	389	888
305	390	886
306	391	884
307	393	883
308	394	881
309	395	879
310	396	877
311	397	875
312	398	873
313	399	872
314	401	872
315	402	870
316	403	868
317	404	866
318	405	864
319	406	863
320	407	862
321	408	861
322	409	859
323	410	857
324	411	855
325	412	853
326	414	852
327	415	850
328	416	848
329	417	846
330	418	844
331	419	843
332	419	841
333	421	839
334	423	840
335	424	838
336	425	836
337	426	834
338	427	833
339	428	832
340	429	830
341	430	829
342	431	827
343	432	825
344	433	823
345	434	821
346	436	821
347	437	819
348	438	818
349	439	816
350	440	814
351	441	812
352	442	811
353	443	810
354	445	808
355	445	806
356	446	805
357	447	803
358	448	801
359	451	802
360	452	800
361	453	798
362	454	796
363	455	795
364	456	793
365	457	792
366	458	790
367	459	789
368	460	787
369	461	785
370	462	784
371	463	782
372	464	781
373	465	779
374	466	778
375	467	776
376	469	775
377	471	775
378	472	774
379	473	772
380	474	770
381	475	769
382	476	767
383	477	766
384	479	765
385	481	765
386	482	763
387	483	762
388	484	761
389	485	760
390	488	760
391	489	759
392	491	758
393	493	758
394	497	761
395	500	763
396	503	764
397	504	762
398	506	762
399	507	761
400	509	760
401	517	769
402	518	767
403	519	766
404	520	764
405	521	763
406	522	761
407	523	759
408	524	758
409	529	761
410	531	761
411	532	759
412	533	758
413	534	757
414	535	755
415	536	753
416	537	752
417	538	750
418	539	748
419	541	748
420	542	746
421	543	744
422	546	745
423	550	747
424	551	746
425	553	745
426	554	743
427	556	743
428	558	742
429	559	741
430	560	739
431	561	738
432	563	737
433	564	735
434	565	734
435	567	734
436	569	733
437	570	731
438	572	731
439	574	731
440	575	729
441	576	728
442	577	726
443	578	724
444	579	723
445	581	722
446	582	720
447	583	719
448	584	717
449	585	715
450	586	714
451	587	712
452	588	710
453	590	709
454	591	708
455	592	706
456	593	705
457	594	703
458	596	703
459	597	701
460	599	700
461	599	698
462	601	697
463	604	697
464	605	696
465	607	696
466	608	694
467	609	692
468	612	693
469	613	692
470	614	690
471	618	691
472	619	690
473	620	688
474	621	687
475	622	685
476	625	685
477	626	684
478	627	682
479	628	680
480	629	679
481	630	677
482	631	676
483	632	674
484	633	673
485	634	671
486	635	669
487	636	668
488	637	666
489	638	664
490	640	664
491	641	662
492	642	660
493	643	659
494	645	658
495	646	656
496	647	654
497	648	653
498	649	651
499	650	650
500	651	648
501	652	646
502	652	645
503	654	643
504	655	642
505	656	640
506	657	639
507	658	637
508	659	636
509	660	634
510	662	633
511	663	631
512	664	630
513	665	628
514	666	627
515	667	625
516	668	624
517	669	623
518	670	621
519	672	620
520	673	618
521	674	617
522	676	617
523	677	615
524	678	614
525	680	612
526	681	611
527	682	609
528	683	608
529	685	607
530	686	606
531	687	604
532	688	603
533	690	602
534	691	600
535	692	599
536	693	597
537	694	596
538	695	594
539	696	592
540	697	591
541	698	590
542	699	588
543	700	587
544	701	585
545	702	584
546	703	582
547	704	581
548	706	580
549	707	578
550	708	577
551	709	575
552	710	574
553	711	572
554	712	571
555	713	570
556	714	568
557	715	567
558	716	565
559	717	564
560	719	562
561	720	561
562	721	559
563	722	558
564	723	556
565	724	555
566	725	553
567	726	552
568	727	551
569	728	549
570	729	548
571	730	546
572	731	545
573	732	543
574	734	542
575	735	541
576	735	539
577	736	538
578	737	536
579	738	535
580	739	533
581	740	532
582	743	531
583	744	530
584	746	529
585	747	527
586	749	527
587	751	526
588	752	524
589	753	523
590	754	521
591	755	520
592	756	519
593	757	517
594	758	516
595	759	514
596	760	513
597	762	512
598	763	511
599	764	509
600	765	508
601	766	506
602	767	505
603	768	503
604	769	502
605	770	501
606	771	499
607	773	498
608	774	496
609	774	495
610	775	494
611	777	492
612	778	491
613	779	490
614	780	488
615	781	487
616	782	485
617	783	484
618	785	483
619	786	482
620	787	480
621	788	479
622	789	478
623	790	476
624	792	475
625	793	473
626	794	472
627	795	471
628	796	469
629	797	468
630	798	466
631	799	465
632	803	465
633	805	464
634	806	463
635	808	462
636	809	461
637	810	459
638	811	458
639	812	457
640	814	455
641	815	454
642	816	453
643	818	452
644	819	450
645	820	449
646	822	448
647	823	447
648	824	446
649	825	444
650	827	443
651	828	442
652	830	441
653	831	440
654	833	438
655	834	437
656	836	436
657	838	435
658	840	434
659	841	433
660	843	432
661	844	431
662	846	430
663	847	428
664	848	427
665	849	426
666	850	424
667	852	423
668	854	422
669	857	422
670	858	420
671	859	419
672	861	418
673	862	417
674	863	415
675	864	414
676	866	413
677	868	412
678	869	411
679	871	410
680	873	409
681	876	408
682	877	407
683	878	405
684	879	404
685	880	402
686	881	401
687	883	400
688	885	399
689	886	398
690	887	396
691	888	395
692	890	394
693	891	393
694	892	391
695	893	390
696	894	388
697	895	387
698	897	386
699	898	385
700	899	383
701	900	382
702	901	381
703	902	379
704	903	378
705	905	377
706	907	375
707	908	374
708	909	373
709	910	371
710	912	370
711	913	369
712	914	368
713	915	366
714	917	365
715	918	364
716	920	363
717	921	361
718	922	360
719	923	359
720	924	357
721	926	356
722	927	355
723	929	354
724	931	353
725	932	351
726	933	350
727	934	349
728	935	347
729	936	346
730	937	345
731	939	343
732	941	342
733	942	341
734	943	340
735	944	338
736	945	337
737	946	336
738	948	334
739	949	333
740	951	332
741	952	331
742	954	330
743	956	329
744	957	327
745	958	326
746	959	324
747	960	323
748	961	322
749	963	321
750	965	320
751	966	318
752	967	317
753	968	316
754	969	314
755	970	313
756	971	311
757	972	310
758	973	309
759	974	307
760	975	306
761	976	305
762	978	303
763	979	302
764	980	301
765	981	299
766	982	298
767	983	297
768	984	295
769	985	294
770	986	293
771	987	291
772	989	290
773	990	289
774	992	288
775	994	287
776	996	286
777	997	284
778	1000	283
779	1001	282
780	1002	281
781	1003	279
782	1004	278
783	1005	277
784	1006	275
785	1007	274
786	1008	273
787	1009	271
788	1010	270
789	1012	269
790	1013	267
791	1014	266
792	1015	265
793	1016	263
794	1017	262
795	1018	260
796	1019	259
797	1020	258
798	1021	257
799	1022	255
800	1023	254
801	1024	252
802	1025	251
803	1026	250
804	1027	248
805	1029	247
806	1030	246
807	1031	245
808	1032	243
809	1033	242
810	1034	241
811	1035	239
812	1036	238
813	1037	237
814	1038	235
815	1039	234
816	1040	233
817	1041	231
818	1043	230
819	1044	229
820	1045	227
821	1046	226
822	1047	225
823	1048	224
824	1049	222
825	1051	221
826	1052	220
827	1053	218
828	1054	217
829	1055	216
830	1056	214
831	1057	213
832	1058	212
833	1059	210
834	1060	209
835	1061	208
836	1063	207
837	1064	205
838	1065	204
839	1066	203
840	1067	201
841	1068	200
842	1069	199
843	1070	197
844	1072	196
845	1073	195
846	1074	194
847	1075	192
848	1076	191
849	1077	190
850	1078	188
851	1079	187
852	1080	186
853	1081	184
854	1082	183
855	1083	182
856	1084	181
857	1086	179
858	1087	178
859	1088	177
860	1089	175
861	1090	174
862	1091	173
863	1092	171
864	1093	170
865	1094	169
866	1095	168
867	1096	166
868	1097	165
869	1098	164
870	1099	162
871	1100	161
872	1101	160
873	1102	158
874	1103	157
875	1104	156
876	1105	155
877	1106	153
878	1107	152
879	1109	151
880	1110	149
881	1111	148
882	1112	147
883	1113	146
884	1115	144
885	1116	143
886	1117	142
887	1118	141
888	1119	139
889	1121	138
890	1122	137
891	1125	136
892	1126	135
893	1127	133
894	1128	132
895	1129	131
896	1131	129
897	1132	128
898	1133	127
899	1134	126
900	1135	124
901	1136	123
902	1137	122
903	1138	120
904	1139	119
905	1140	118
906	1141	117
907	1142	115
908	1143	114
909	1144	113
910	1146	111
911	1147	110
912	1148	109
913	1149	108
914	1150	106
915	1151	105
916	1152	104
917	1153	103
918	1154	101
919	1155	100
920	1156	99
921	1157	97
922	1158	96
923	1159	95
924	1160	94
925	1161	92
926	1162	91
927	1163	90
928	1164	89
929	1165	87
930	1166	86
931	1168	85
932	1169	83
933	1170	82
934	1171	81
935	1172	80
936	1174	78
937	1175	77
938	1176	76
939	1177	75
940	1178	73
941	1179	72
942	1180	71
943	1181	70
944	1182	68
945	1183	67
946	1184	66
947	1185	65
948	1186	63
949	1187	62
950	1189	61
951	1190	60
952	1191	58
953	1192	57
954	1193	56
955	1194	54
956	1195	53
957	1197	52
958	1198	51
959	1199	49
960	1200	48
961	1201	47
962	1202	46
963	1203	44
964	1204	43
965	1205	42
966	1206	41
967	1207	39
968	1208	38
969	1209	37
970	1210	36
971	1212	34
972	1213	33
973	1214	32
974	1215	31
975	1216	29
976	1217	28
977	1218	27
978	1219	26
979	1220	24
980	1222	23
981	1223	22
982	1224	21
983	1225	19
984	1226	18
985	1227	17
986	1228	16
987	1229	14
988	1231	13
989	1232	12
990	1233	11
991	1234	9
992	1235	8
993	1236	7
994	1237	6
995	1238	4
996	1239	3
997	1240	2
998	1241	1
999	1243	0
